quant,year,passSpace,stoSpace,displacement,mpg,econ,ghg,save
Q0,1984,1,1,0.6,0,1,1,-40750
Q1,1986,78,9,1.8,15.2827,3,3,-12000
Q2,1990,84,11,2,17.3254,4,4,-9000
Q3,1995,87,12,2.3,18.9908,4,4,-7750
Q4,2000,90,13,2.5,20.498,4,4,-6500
Q5,2005,92,14,3,21.847,5,5,-5250
Q6,2009,94,15,3.5,23.3291,5,5,-4000
Q7,2013,97,16,3.8,25.0797,6,6,-3250
Q8,2017,100,19,4.6,27.333,7,7,-2000
Q9,2020,104,27,5.3,31,8,8,-250
Q10,2024,195,55,8.4,133.2662,10,10,8000
